,home,away,posesión_home,posesión_away,pases_home,pases_away,disparos_home,disparos_away
148,Celta Vigo,Cádiz,68%,32%,523 of 637 — 82%,67% — 202 of 303,7 of 26 — 27%,50% — 1 of 2
149,Getafe,Valencia,67%,33%,495 of 652 — 76%,56% — 178 of 316,6 of 8 — 75%,0% — 0 of 3
150,Alavés,Las Palmas,41%,59%,261 of 361 — 72%,83% — 425 of 510,3 of 19 — 16%,22% — 2 of 9
151,Betis,Real Madrid,37%,63%,370 of 452 — 82%,89% — 681 of 765,6 of 14 — 43%,17% — 2 of 12
152,Villarreal,Real Sociedad,53%,47%,387 of 492 — 79%,80% — 355 of 444,4 of 20 — 20%,31% — 5 of 16
153,Mallorca,Sevilla,35%,65%,223 of 335 — 67%,83% — 525 of 636,3 of 6 — 50%,26% — 5 of 19
154,Atlético Madrid,Almería,57%,43%,471 of 574 — 82%,73% — 320 of 437,4 of 13 — 31%,32% — 6 of 19
155,Cádiz,Osasuna,45%,55%,228 of 367 — 62%,72% — 324 of 449,5 of 12 — 42%,25% — 3 of 12
156,Barcelona,Girona,54%,46%,500 of 576 — 87%,85% — 424 of 498,11 of 31 — 35%,47% — 7 of 15
157,Granada,Athletic Club,48%,52%,381 of 489 — 78%,77% — 402 of 521,2 of 7 — 29%,21% — 4 of 19
158,Rayo Vallecano,Celta Vigo,63%,37%,531 of 654 — 81%,71% — 273 of 384,4 of 18 — 22%,50% — 2 of 4
159,Osasuna,Rayo Vallecano,60%,40%,365 of 497 — 73%,67% — 217 of 326,4 of 10 — 40%,30% — 3 of 10
160,Celta Vigo,Granada,39%,61%,227 of 338 — 67%,80% — 423 of 527,4 of 11 — 36%,29% — 2 of 7
161,Athletic Club,Atlético Madrid,38%,62%,304 of 423 — 72%,82% — 565 of 687,7 of 15 — 47%,43% — 3 of 7
162,Sevilla,Getafe,57%,43%,404 of 538 — 75%,69% — 280 of 406,4 of 12 — 33%,42% — 5 of 12
163,Valencia,Barcelona,37%,63%,246 of 348 — 71%,85% — 512 of 601,4 of 11 — 36%,44% — 7 of 16
164,Almería,Mallorca,53%,47%,312 of 433 — 72%,68% — 265 of 390,1 of 7 — 14%,10% — 2 of 20
165,Real Sociedad,Betis,57%,43%,453 of 541 — 84%,77% — 308 of 401,4 of 12 — 33%,25% — 3 of 12
166,Las Palmas,Cádiz,64%,36%,496 of 619 — 80%,67% — 235 of 352,2 of 7 — 29%,38% — 5 of 13
167,Real Madrid,Villarreal,60%,40%,604 of 679 — 89%,84% — 383 of 458,9 of 22 — 41%,33% — 1 of 3
168,Girona,Alavés,66%,34%,656 of 738 — 89%,82% — 307 of 376,3 of 8 — 38%,17% — 2 of 12
169,Rayo Vallecano,Valencia,59%,41%,395 of 530 — 75%,69% — 253 of 369,1 of 7 — 14%,38% — 3 of 8
170,Atlético Madrid,Getafe,42%,58%,318 of 421 — 76%,81% — 477 of 591,3 of 7 — 43%,29% — 8 of 28
171,Granada,Sevilla,52%,48%,450 of 559 — 81%,82% — 423 of 519,3 of 12 — 25%,42% — 5 of 12
172,Barcelona,Almería,65%,35%,547 of 621 — 88%,73% — 243 of 335,11 of 30 — 37%,50% — 5 of 10
173,Athletic Club,Las Palmas,50%,50%,388 of 521 — 74%,73% — 374 of 515,8 of 18 — 44%,20% — 1 of 5
174,Villarreal,Celta Vigo,49%,51%,415 of 511 — 81%,83% — 449 of 541,7 of 11 — 64%,27% — 4 of 15
175,Cádiz,Real Sociedad,40%,60%,223 of 323 — 69%,75% — 361 of 482,2 of 10 — 20%,13% — 1 of 8
176,Betis,Girona,47%,53%,474 of 560 — 85%,88% — 552 of 624,4 of 21 — 19%,27% — 3 of 11
177,Alavés,Real Madrid,40%,60%,301 of 386 — 78%,90% — 519 of 577,2 of 8 — 25%,44% — 4 of 9
178,Mallorca,Osasuna,42%,58%,251 of 369 — 68%,76% — 385 of 505,8 of 15 — 53%,58% — 7 of 12
179,Atlético Madrid,Sevilla,50%,50%,438 of 530 — 83%,81% — 423 of 524,4 of 12 — 33%,25% — 2 of 8
180,Getafe,Rayo Vallecano,38%,62%,228 of 340 — 67%,82% — 445 of 544,0 of 5 — 0%,58% — 7 of 12
181,Real Sociedad,Alavés,53%,47%,306 of 424 — 72%,74% — 272 of 369,5 of 16 — 31%,17% — 1 of 6
182,Valencia,Villarreal,46%,54%,365 of 455 — 80%,83% — 448 of 540,6 of 9 — 67%,50% — 4 of 8
183,Granada,Cádiz,55%,45%,334 of 425 — 79%,70% — 246 of 353,8 of 15 — 53%,13% — 2 of 15
184,Real Madrid,Mallorca,67%,33%,612 of 691 — 89%,72% — 249 of 347,5 of 17 — 29%,0% — 0 of 7
